what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1364019162115
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1364019162115
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1364019162115
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1364019162115
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1364019162115
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1364019162115
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1364019162115
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1364019162115
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1364019162115
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1364019162115
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1364019162115
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1364019162131
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1364019162131
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1364019162131
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1364019162131
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1364019162131
os,sysinfo,,,"win32",1364019162131
arch,sysinfo,,,"x86",1364019162131
ws,sysinfo,,,"win32",1364019162131
locale,sysinfo,,,"en_US",1364019162131
processors,sysinfo,,,"4",1364019162131
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1364019162131
java.runtime.version,sysinfo,,,"1.7.0_15-b03",1364019162131
java.specification.name,sysinfo,,,"Java Platform API Specification",1364019162131
java.specification.vendor,sysinfo,,,"Oracle Corporation",1364019162131
java.specification.version,sysinfo,,,"1.7",1364019162131
java.vendor,sysinfo,,,"Oracle Corporation",1364019162131
java.version,sysinfo,,,"1.7.0_15",1364019162131
java.vm.info,sysinfo,,,"mixed mode, sharing",1364019162131
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1364019162131
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1364019162131
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1364019162131
java.vm.specification.version,sysinfo,,,"1.7",1364019162131
java.vm.vendor,sysinfo,,,"Oracle Corporation",1364019162131
java.vm.version,sysinfo,,,"23.7-b01",1364019162131
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364019166811
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1364019166998
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1364019167013
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1364019167107
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1364019167107
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1364019167107
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1364019167107
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1364019167107
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1364019167107
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1364019167107
